36,0.87386,0,0.87386,0,0.021301,0.83091,0.054508,-0.97522,-0.084242,0.20457,0.15101,0.42231,0.89378,-0.16169,0.90253,-0.39913
37,0.89909,0,0.89909,0,0.017174,0.85358,0.044239,-0.97867,-0.096916,0.18111,0.12189,0.43573,0.89179,-0.16535,0.89484,-0.41462
38,0.92431,0,0.92431,0,0.012964,0.87607,0.033603,-0.98144,-0.11033,0.15687,0.092045,0.44662,0.88998,-0.16825,0.88789,-0.42818
39,0.94954,0,0.94954,0,0.0086896,0.89839,0.022651,-0.98342,-0.12437,0.13195,0.061665,0.45495,0.88838,-0.17052,0.88179,-0.43974
40,0.97477,0,0.97477,0,0.0043645,0.92057,0.011433,-0.98456,-0.13892,0.10647,0.030924,0.46067,0.88703,-0.17228,0.87663,-0.44926
41,1,0,1,0,-1.041e-14,0.94263,0,-0.9848,-0.15386,0.080541,-2.413e-12,0.46377,0.88596,-0.17366,0.87249,-0.45672
1,0,0,0,0,-1.041e-14,0.94263,0,0.9848,-0.15386,0.080541,-1.0694e-11,0.46377,0.88596,-0.17366,-0.87249,0.45672
2,0.025229,0,0.025229,0,-0.0043645,0.92057,0.011433,0.98456,-0.13892,0.10647,-0.030924,0.46067,0.88703,-0.17228,-0.87663,0.44926
3,0.050457,0,0.050457,0,-0.0086896,0.89839,0.022651,0.98342,-0.12437,0.13195,-0.061665,0.45495,0.88838,-0.17052,-0.88179,0.43974
4,0.075686,0,0.075686,0,-0.012964,0.87607,0.033603,0.98144,-0.11033,0.15687,-0.092045,0.44662,0.88998,-0.16825,-0.88789,0.42818
5,0.10091,0,0.10091,0,-0.017174,0.85358,0.044239,0.97867,-0.096916,0.18112,-0.12189,0.43573,0.89179,-0.16535,-0.89484,0.41462
6,0.1262,0,0.1262,0,-0.02131,0.83086,0.054531,0.97521,-0.084214,0.20463,-0.15108,0.42228,0.89379,-0.16168,-0.90255,0.39909
7,0.15149,0,0.15149,0,-0.025343,0.80793,0.064405,0.97115,-0.072345,0.22724,-0.17937,0.40636,0.89594,-0.15716,-0.91085,0.38166
8,0.17677,0,0.17677,0,-0.02925,0.78479,0.073816,0.9666,-0.061387,0.24884,-0.20658,0.38803,0.8982,-0.15169,-0.9196,0.36239
9,0.20206,0,0.20206,0,-0.033006,0.76142,0.082717,0.96168,-0.051398,0.26932,-0.23256,0.3674,0.90052,-0.14523,-0.92864,0.34137
10,0.22614,0,0.22614,0,-0.03642,0.73896,0.090681,0.95676,-0.042818,0.28769,-0.25598,0.3457,0.90276,-0.13811,-0.93737,0.31979
11,0.25022,0,0.25022,0,-0.03965,0.71628,0.098109,0.95174,-0.035166,0.30487,-0.27799,0.3221,0.90497,-0.13002,-0.94605,0.29678
